News Highlights,Publisher Name,Publisher Gmail,Publisher Twitter,News URL,Date,News Image
Russia sanctions and energy dominate Next WEEK,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/agenda/154940,"BRUSSELS, 13. MAY 2022, 16:38",https://media.euobserver.com/069233fb8e7e1ea129dab3e59436fbee-800x.jpg
"EU central bankers divided on interest rates, amid rising prices",WESTER VAN GAAL,mailto:wvg@euobserver.com,https://twitter.com/Westervangaal,https://euobserver.com/green-economy/154895,"BRUSSELS, 6. MAY 2022, 16:14",https://media.euobserver.com/315aa38d16ace51d30f501ab4a5c3804-800x.jpg
"Hiking rates will damage economy, experts warn",WESTER VAN GAAL,mailto:wvg@euobserver.com,https://twitter.com/Westervangaal,https://euobserver.com/green-economy/154801,"BRUSSELS, 26. APR 2022, 17:40",https://media.euobserver.com/e0d22c0580611e2e5eb6b52148f96e3f-800x.jpg
EU warns Musk on Twitter takeover,EUOBSERVER,none,none,https://euobserver.com/tickers/154799,"26. APR 2022, 16:31",none
EU ends 'wild west' of Big Tech,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/world/154591,"BRUSSELS, 25. MAR 2022, 14:29",https://media.euobserver.com/e80210b45b7541f50fec90a26bcf737f-800x.jpg
EU adopts new rules for online 'gatekeepers',EUOBSERVER,none,none,https://euobserver.com/tickers/154589,"24. MAR 2022, 23:42",none
Concerns about Russia dominate EU AGENDA March 14-20,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/agenda/154517,"BRUSSELS, 11. MAR 2022, 20:21",https://media.euobserver.com/5498b7c8a706bde9cad5a67b200295af-800x.jpg
EU joins semiconductor race with €43bn plan,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/world/154324,"BRUSSELS, 8. FEB 2022, 20:45",https://media.euobserver.com/f22d0a44fe48f738ed27edd945f94fa9-800x.jpg
EU Commission wants to set world's first digital standards,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/rule-of-law/154207,"BRUSSELS, 27. JAN 2022, 07:09",https://media.euobserver.com/e1352293fd2c9b84709b5f1a7a463a8a-800x.jpg
Digital marketing should rejoice at more EU regulation,ANDREAS MARCKMANN ANDREASSEN,none,none,https://euobserver.com/opinion/154159,"COPENHAGEN, 24. JAN 2022, 07:04",https://media.euobserver.com/e921513ac9e234e23c6cd9b6ac3a1bd6-800x.jpg
MEPs to crackdown on digital 'Wild West',ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/rule-of-law/154141,"BRUSSELS, 20. JAN 2022, 07:13",https://media.euobserver.com/8491ab7ce3a44aa0c2e8eb5cce33a39f-800x.jpg
New doubts raised on tracking ads ahead of key vote,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/rule-of-law/154105,"BRUSSELS, 18. JAN 2022, 07:06",https://media.euobserver.com/11521a048b64685e38b11cd5863d7e62-800x.jpg
Socialist and Green MEPs find 'loopholes' in political ads rules,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/rule-of-law/154040,"BRUSSELS, 11. JAN 2022, 07:18",https://media.euobserver.com/885aaed67bcdacd3899d092a46a0d3fc-800x.jpg
Lead MEPs push against Big Tech recommendation algorithms,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/rule-of-law/153820,"BRUSSELS, 15. DEC 2021, 07:04",https://media.euobserver.com/e99bb611eace2548b3ebcae59634bf4a-800x.jpg
EU summit focus on Covid-19 and Russia This WEEK,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/agenda/153793,"BRUSSELS, 13. DEC 2021, 07:08",https://media.euobserver.com/472f6069156bdb52af8e93ce12ac9027-800x.jpg
True value of digital advertising has come into sharp relief,GREG MROCZKOWSKI,none,none,https://euobserver.com/stakeholders/153775,"BRUSSELS, 10. DEC 2021, 07:00",https://media.euobserver.com/210dd9550167d4d8687a71507e58a6a2-800x.jpg
Progress on new rules brings EU 'closer to a fair tech market',ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/rule-of-law/153606,"BRUSSELS, 24. NOV 2021, 07:13",https://media.euobserver.com/9cd1af1d1cd5e8c20dd9c6ef2046b401-800x.jpg
Experts warn MEPs on tracking ads: 'Don't be fooled',ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/rule-of-law/153572,"BRUSSELS, 22. NOV 2021, 07:10",https://media.euobserver.com/5a95da02c13d314e9d2e25d16f5b4c32-800x.jpg
"MEPs focus on Belarus, digital rules This WEEK",ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/agenda/153573,"BRUSSELS, 22. NOV 2021, 07:09",https://media.euobserver.com/e9a6d695e0f9c609030e0cf0edf62ea6-800x.jpg
"Google loses price-comparison case, emboldening EU regulators",ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/news/153489,"BRUSSELS, 11. NOV 2021, 07:09",https://media.euobserver.com/bac800457996ffee43072af187d2a2df-800x.jpg
Facebook whistleblower: EU rules can be 'game-changer',ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/rule-of-law/153463,"BRUSSELS, 9. NOV 2021, 07:12",https://media.euobserver.com/4d6b45c5b0454f4880776e97c405172e-800x.jpg
Facebook scandal and COP26 climax in focus This WEEK,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/agenda/153445,"BRUSSELS, 8. NOV 2021, 07:06",https://media.euobserver.com/4bdddfef0f5df8e03f35ed817ebc7e7f-800x.jpg
EU's 'secret' vaccine negotiators: Who's dealing with Big Pharma?,MAXENCE PEIGNÉ,none,none,https://euobserver.com/health-and-society/153412,"LONDON, 4. NOV 2021, 07:23",https://media.euobserver.com/7e35f216cb88e4085622cd8b4713b762-800x.jpg
Trusted connectivity: the European value proposition,KAJA KALLAS AND CHARLES MICHEL,none,none,https://euobserver.com/opinion/152908,"BRUSSELS/TALLINN, 14. SEP 2021, 13:12",https://media.euobserver.com/265eb231b5508cb5fec5c31f14d55654-800x.jpg
"Big tech's EU lobby spending revealed, as key acts loom",ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/rule-of-law/152767,"BRUSSELS, 1. SEP 2021, 07:15",https://media.euobserver.com/6c90d7e0e94c48a6a71c90262fd12383-800x.jpg
Twitter 'best' at applying EU disinformation code,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/151956,"BRUSSELS, 27. MAY 2021, 07:17",https://media.euobserver.com/02f5b20f2c0e70f301cc007d0e50db60-800x.jpg
'Deepfakes' - a political problem already hitting the EU,MICHAEL MEYER-RESENDE AND MADELINE BRADY,none,none,https://euobserver.com/opinion/151935,"BERLIN, 26. MAY 2021, 07:03",none
Football's 'Super League' - an own-goal for EU soft power,JONAS FLEEGA,none,none,https://euobserver.com/opinion/151638,"LONDON, 23. APR 2021, 07:03",https://media.euobserver.com/85fab3a512b03a62612beb996f067fe8-800x.jpg
Merkel 'open' to EU treaty change on health,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/rule-of-law/151627,"BRUSSELS, 22. APR 2021, 07:04",https://media.euobserver.com/95b4cc00fdd5b3f49ea13d5a80c03e81-800x.jpg
Commission waiting on 10 states for recovery bonds,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/health-and-society/151547,"BRUSSELS, 15. APR 2021, 07:03",https://media.euobserver.com/605890458597384acecb142e0c6c736e-800x.jpg
EU fears death of free media in eastern Europe,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/eu-political/151197,"BRUSSELS, 11. MAR 2021, 07:09",https://media.euobserver.com/24fe7182b4eb099c2f338695a78ec570-800x.jpg
'Big Five' tech giants spent €19m lobbying EU in 2020,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/151072,"BRUSSELS, 1. MAR 2021, 07:02",https://media.euobserver.com/10f5f6b6dc8f067ec46470868a47e8c5-800x.jpg
Open Letter: Uber must recognise its workers,LEÏLA CHAIBI,none,none,https://euobserver.com/stakeholders/151026,"BRUSSELS, 24. FEB 2021, 07:15",https://media.euobserver.com/aee1745e414c0bafa90661cb3845f795-800x.jpg
EU summit on vaccine problems This WEEK,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/agenda/150994,"BRUSSELS, 22. FEB 2021, 07:02",https://media.euobserver.com/7da995cd81e70afbaea86d682cb957c9-800x.jpg
A digital euro - could it happen?,LEO VAN HOVE,none,none,https://euobserver.com/opinion/150683,"BRUSSELS, 22. JAN 2021, 07:03",https://media.euobserver.com/f3ea30019771d2e7737f99a78c39dadb-800x.jpg
How to fix EU's weak Digital Services and Markets Acts,STEVEN HILL,none,none,https://euobserver.com/opinion/150610,"SAN FRANSISCO, 15. JAN 2021, 07:03",https://media.euobserver.com/02124f2040dee3bc784305670b25218f-800x.jpg
Online giants could face 10% fines under new EU law,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/150396,"BRUSSELS, 16. DEC 2020, 07:04",https://media.euobserver.com/473309b6c7d70e53e80c41d7a27abcb8-800x.jpg
Italy's return to statism spells trouble for the eurozone,PIETER CLEPPE,none,none,https://euobserver.com/opinion/150392,"BRUSSELS, 16. DEC 2020, 07:03",https://media.euobserver.com/6ed8406104e466d5919b52fe1b28dccd-800x.jpg
Brexit and digital services overhaul This WEEK,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/agenda/150368,"BRUSSELS, 14. DEC 2020, 07:18",https://media.euobserver.com/cd1df610241618c6cec133fa842e716c-800x.jpg
"EU unveils new data rules, including 'data-altruism' clause",ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/150191,"BRUSSELS, 26. NOV 2020, 07:04",https://media.euobserver.com/707a066cd8f55ad3e08113d713e254db-800x.jpg
EU vs US tech agenda under Biden,ZUZANA PISOŇ,none,none,https://euobserver.com/opinion/150066,"BRATISLAVA, 16. NOV 2020, 07:06",https://media.euobserver.com/42f56eac05fbc41db366d8c2a2fdf448-800x.jpg
The State of the Union speech - digested,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/eu-political/149456,"BRUSSELS, 17. SEP 2020, 07:03",https://media.euobserver.com/a3f94c57867c0814b64dfcc6016ec633-800x.jpg
The three 'Elephants in the Room' in EU-India relations,SHAIREE MALHOTRA,none,none,https://euobserver.com/opinion/149087,"MUMBAI, 3. AUG 2020, 08:31",https://media.euobserver.com/b6942e368c5ee11c1bb951ebaa323b34-800x.jpg
EU five-year security plan to focus on critical infrastructure,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/rule-of-law/149030,"BRUSSELS, 27. JUL 2020, 08:32",https://media.euobserver.com/08bdb3d527a7c521ca49d11bf06f7487-800x.jpg
Spanish vs Dutch views on the EU Recovery Fund,MONIKA SIE DHIAN HO AND CHARLES POWELL,none,none,https://euobserver.com/opinion/148958,"THE HAGUE/MADRID, 17. JUL 2020, 07:17",https://media.euobserver.com/bc6e62372b65ca2b615f03accbd29fb2-800x.jpg
We need to do more for our small and medium-sized enterprises,MARTINA DLABAJOVA,none,none,https://euobserver.com/stakeholders/148913,"BRUSSELS, 13. JUL 2020, 07:20",none
EU leaders seek to first narrow differences at summit,ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/health-and-society/148700,"BRUSSELS, 19. JUN 2020, 07:03",https://media.euobserver.com/5ad4c06e816967de6fda461231c80f03-800x.jpg
China's post-Covid 19 'techno-nationalist' industrial policy,REBECCA ARCESATI AND MARTIJN RASSER,none,none,https://euobserver.com/opinion/148449,"BERLIN/WASHINGTON, 29. MAY 2020, 07:10",https://media.euobserver.com/834c7f295751b33a2d62dc17dd5a24ca-800x.jpg
Study: Green post-virus stimulus is 'life or death',ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/health-and-society/148282,"BRUSSELS, 7. MAY 2020, 07:14",https://media.euobserver.com/777f6cb7afdfe439a48bbddb7c55fd05-800x.jpg
The future of 'Made in China' after coronavirus?,ANNA HOLZMANN,none,none,https://euobserver.com/opinion/147912,"BERLIN, 8. APR 2020, 07:19",https://media.euobserver.com/e569edc6bf7a265b68dd96e86119dc6c-800x.jpg
First 100 days: Digital and Green Deal policies hit by crises,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/eu-political/147678,"BRUSSELS, 10. MAR 2020, 07:17",https://media.euobserver.com/edf9d27a51ce09dc1fe47618f5df75dc-800x.jpg
Brexit can spur EU fight on bureaucracy,JÖRGEN WARBORN,none,none,https://euobserver.com/opinion/147301,"BRUSSELS, 31. JAN 2020, 00:01",https://media.euobserver.com/0bdfb37e28c888b0da76bf11d061daa3-800x.jpg
The challenge of artificial intelligence,KOERT DEBEUF,none,none,https://euobserver.com/who-is-who/146446,"BRUSSELS, 22. NOV 2019, 08:46",https://media.euobserver.com/02026c19c42952faac9fd7154ae8b92b-800x.jpg
"Breaking up tech giants is last resort, Vestager tells MEPs",ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/green-economy/146208,"BRUSSELS, 9. OCT 2019, 08:46",https://media.euobserver.com/2e47990b6cf8043cd257c96a99400086-800x.jpg
The truth and reality of China's social credit system,FAN ZHENGJIE AND ZHANG BEI,none,none,https://euobserver.com/stakeholders/145779,"BRUSSELS, 30. AUG 2019, 17:09",https://media.euobserver.com/84673eb8d98d5bdaff8ade06e4d48c7f-800x.jpg
EU puts forward five-year plan focusing on 'protection',ESZTER ZALAN,mailto:ez@euobserver.com,https://twitter.com/eszterz,https://euobserver.com/eu-political/145229,"BRUSSELS, 21. JUN 2019, 09:39",https://media.euobserver.com/14ad5421e70cddac63820a281ac88943-800x.jpg
Let's stick together - in defence of EU 'cohesion' policy,JAKUB WISNIEWSKI,none,none,https://euobserver.com/opinion/145023,"BRATISLAVA, 29. MAY 2019, 07:41",https://media.euobserver.com/79d8f5ee571bfb26666d705589d323a3-800x.jpg
Finland spearheads EU plan for digital revolution,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/green-economy/144289,"BRUSSELS, 28. FEB 2019, 09:08",https://media.euobserver.com/ee3e3c0a1491c26570ac91901bb16144-800x.jpg
Digital 'Iron Curtain' makes no sense in 5G era,ZHANG MING,none,none,https://euobserver.com/stakeholders/144260,"BRUSSELS, 26. FEB 2019, 15:40",https://media.euobserver.com/dc154b5cf9d88431dc589ae5dcc7e16e-800x.jpg
'Society too complex for EU's self-driving cars dream',PETER TEFFER,none,none,https://euobserver.com/eu-political/143762,"BRUSSELS, 27. DEC 2018, 09:02",https://media.euobserver.com/a484e027c3cf71b3efe0ec4d3fe3bb45-800x.jpg
How the EU commission got tunnel vision on self-driving cars,PETER TEFFER,none,none,https://euobserver.com/green-economy/143367,"BRUSSELS, 16. NOV 2018, 07:36",https://media.euobserver.com/34bb54cd8c3c4b4802f586db5280c410-800x.jpg
Europe's tech race - trying to keep pace with US and China,CRAIG J. WILLY,none,none,https://euobserver.com/opinion/142056,"BRUSSELS, 22. JUN 2018, 15:12",https://media.euobserver.com/f90ca570c0c0b8f9729089c191664dcc-800x.jpg
Science commissioner wants to unleash inventors' creativity,ERIC MAURICE,none,none,https://euobserver.com/digital/142021,"BRUSSELS, 7. JUN 2018, 12:07",https://media.euobserver.com/0880f847853a13fcdf09d4ed78c4a26d-800x.jpg
Europe's budget stasis,DALIBOR ROHAC,none,none,https://euobserver.com/opinion/141741,"WASHINGTON, 3. MAY 2018, 16:21",https://media.euobserver.com/68e153979eeeea203c982c0004932cfe-800x.jpg
It's time we lost our 'cyber-naivety',ANNELEEN VAN BOSSUYT MEP,none,none,https://euobserver.com/opinion/141476,"BRUSSELS, 29. MAR 2018, 09:19",https://media.euobserver.com/1e72aeb01e54a1166dbfeec2a77c2a7d-800x.jpg
Leading the transition towards a post-petroleum society,BIO-BASED INDUSTRIES JOINT UNDERTAKING (BBI JU),none,none,https://euobserver.com/stakeholders/140445,"BRUSSELS, 4. JAN 2018, 08:09",https://media.euobserver.com/6e3488811bf53df3dd427b7d9eb80492-800x.jpg
Innovation can keep EU universities ahead of the pack,"SOREN PIND, FREDERIQUE VIDAL",none,none,https://euobserver.com/opinion/140110,"COPENHAGEN, PARIS, 1. DEC 2017, 08:22",https://media.euobserver.com/e0a51ea9f142763eb997a7f9f17da7f6-800x.jpg
UK tech worried over post-Brexit data sharing,BENJAMIN FOX,none,none,https://euobserver.com/rule-of-law/139719,"LONDON, 2. NOV 2017, 07:37",https://media.euobserver.com/d4df1726565982c3825a2f2308a8ef83-800x.jpg
Digital debate will be first test of Tusk's new policy crowbar,PETER TEFFER,none,none,https://euobserver.com/digital/139552,"BRUSSELS, 19. OCT 2017, 21:49",https://media.euobserver.com/042ccb012752b98d506ed3a12834b342-800x.jpg
EU gives thumbs up to US data pact,CATERINA TANI,none,none,https://euobserver.com/rule-of-law/139525,"BRUSSELS, 18. OCT 2017, 19:09",https://media.euobserver.com/29cc154460f6e2b7e2f7e3969455c558-800x.jpg
EU agency to fight election hacking,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/rule-of-law/139072,"BRUSSELS, 19. SEP 2017, 17:19",https://media.euobserver.com/908e9a54b733347308fdef947689466b-800x.jpg
UK to 'align' with EU on data protection,PETER TEFFER,none,none,https://euobserver.com/world/138788,"BRUSSELS, 24. AUG 2017, 09:04",https://media.euobserver.com/863f374bfdc9ba8da777617a9ed19fef-800x.jpg
EU could drive global innovation in Earth observation data,NICK WALLACE,none,none,https://euobserver.com/digital/138482,"BRUSSELS, 11. JUL 2017, 17:03",https://media.euobserver.com/885cf8493bed38d85e14221e145903f8-800x.jpg
Estonians treat Juncker and Tusk to 'noisy' heavy metal act,PETER TEFFER,none,none,https://euobserver.com/eu-political/138393,"TALLINN, 30. JUN 2017, 10:55",https://media.euobserver.com/a85f2ec402ba4d499475b50b6f410941-800x.jpg
Cigarette tracking rules risk being derailed by lobbyists,PETER TEFFER,none,none,https://euobserver.com/health-and-society/138135,"BRUSSELS, 7. JUN 2017, 09:13",https://media.euobserver.com/ddf49e528cfc7561b1e66fea3883f22e-800x.jpg
Audiovisual bill falls short in battle against childhood obesity,DAVID BURROWS,none,none,https://euobserver.com/health-and-society/137891,"BRUSSELS, 15. MAY 2017, 13:57",https://media.euobserver.com/3332b2d907b047fdb677eacb586e9b89-800x.jpg
"Digital currency, the Airbnb and Uber killer",NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/business/137495,"BRUSSELS, 12. MAY 2017, 07:48",https://media.euobserver.com/1927166ccabc57cd640f93863f45f220-800x.jpg
EU trying to salvage US deal on data privacy,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/137438,"BRUSSELS, 30. MAR 2017, 09:27",https://media.euobserver.com/81197f34e53cae0f5af311b50b2ec3b6-800x.jpg
We must renew Europe for all Europeans,PARTY OF EUROPEAN SOCIALISTS,none,none,https://euobserver.com/stakeholders/137252,"BRUSSELS, 15. MAR 2017, 18:47",https://media.euobserver.com/dbae5c8f0d74b4cf97fb45444da71d67-800x.jpg
EU: The next 60 years,TOMAS PROUZA,none,none,https://euobserver.com/opinion/137167,"PRAGUE, 9. MAR 2017, 09:22",https://media.euobserver.com/04cfa35e056218530f451ca41fc64990-800x.jpg
States seek softer access to EU wifi fund,PETER TEFFER,none,none,https://euobserver.com/digital/136121,"BRUSSELS, 2. DEC 2016, 09:24",https://media.euobserver.com/2fdb2e6863371e6ce115f2d53f50a30f-800x.jpg
EU commission sets out kitchen sink agenda,ERIC MAURICE,none,none,https://euobserver.com/eu-political/135648,"BRUSSELS, 25. OCT 2016, 18:39",https://media.euobserver.com/904583a966ed986207582bdcc68ff560-800x.jpg
Former EU climate chief defends VW post,ALEKSANDRA ERIKSSON,none,none,https://euobserver.com/eu-political/135306,"BRUSSELS, 30. SEP 2016, 09:20",https://media.euobserver.com/54de9772d7a52a06430b1de46cb7dfad-800x.jpg
How Europe can harness its digital economy,PAUL HOFHEINZ AND FREDRIK LIND,none,none,https://euobserver.com/opinion/134785,"BRUSSELS, 29. AUG 2016, 14:54",https://media.euobserver.com/fa42c138f647651e0964b52fd1d13d09-800x.jpg
EU rules on 700 MHz: technical issue or power grab?,PETER TEFFER,none,none,https://euobserver.com/digital/132153,"BRUSSELS, 5. FEB 2016, 13:23",https://media.euobserver.com/6d18edccfbb85175b4d9cefb749033fc-800x.jpg
EU to go digital to fight illegal fishing,ESZTER HIDAS,none,none,https://euobserver.com/opinion/130552,"BRUSSELS, 5. OCT 2015, 18:07",https://media.euobserver.com/0f8dc6aa27d6d2a7d6a80595244ea7f0-800x.jpg
First minister: Brexit would trigger Scottish referendum,ERIC MAURICE,none,none,https://euobserver.com/eu-political/128940,"BRUSSELS, 2. JUN 2015, 17:10",https://media.euobserver.com/c71f7f6a23270bae2c956087fbd3e588-800x.jpg
Waiting for Cameron,HONOR MAHONY,none,none,https://euobserver.com/eu-political/128641,"BRUSSELS, 8. MAY 2015, 20:27",https://media.euobserver.com/eff5d7e3e8d8fe845d43329f506d562d-800x.jpg
What digital barriers do Europeans still face?,PETER TEFFER,none,none,https://euobserver.com/news/128579,"BRUSSELS, 5. MAY 2015, 12:55",https://media.euobserver.com/4cbf02124cb2ea34d7be2d59255ea6c3-800x.jpg
Cyber attack on French TV finds EU unprepared,ERIC MAURICE,none,none,https://euobserver.com/news/128285,"BRUSSELS, 10. APR 2015, 18:06",https://media.euobserver.com/52f86d1a1798148cc0ff68ac3b102dbf-800x.jpg
Ukraine's other war: Reforms and the EU bailout,ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/world/128156,"BRUSSELS, 26. MAR 2015, 09:27",https://media.euobserver.com/66d78ea74a0cf130db9648f0c2332c6a-800x.jpg
EU countries to break promise on roaming surcharges,PETER TEFFER,none,none,https://euobserver.com/news/127865,"BRUSSELS, 4. MAR 2015, 09:26",https://media.euobserver.com/68ccd7fe1878f2a23069b5c1119a1499-800x.jpg
'You can't use 18th century law for a digital world',VALENTINA POP,none,none,https://euobserver.com/green-economy/127800,"BRUSSELS, 26. FEB 2015, 09:01",https://media.euobserver.com/b4dc43adf4f5bccf779b29a84bf48664-800x.jpg
Birth of the Juncker commission,VALENTINA POP,none,none,https://euobserver.com/europe-in-review/126524,"BRUSSELS, 4. JAN 2015, 10:00",https://media.euobserver.com/972ad2426c85aa51eed8908bf89e06d6-800x.jpg
New commission sees greater role for Juncker deputies,VALENTINA POP,none,none,https://euobserver.com/news/125545,"BRUSSELS, 10. SEP 2014, 14:57",https://media.euobserver.com/589001b1de2fda40e0f1d4b6fad9ec37-800x.jpg
EU business reform: A threat or a promise from Britain?,BENJAMIN FOX,none,none,https://euobserver.com/news/121753,"BRUSSELS, 17. OCT 2013, 09:40",https://media.euobserver.com/d47ee4d3be31efb7ec34c28dd51001fb-800x.jpg
EU data bill exposes political rifts,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/news/120134,"BRUSSELS, 16. MAY 2013, 09:46",https://media.euobserver.com/fe957eb6ea5f0ae56103bb4e84c6ed0b-800x.jpg
Euro-deputies weaken data protection law,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/rule-of-law/119148,"BRUSSELS, 22. FEB 2013, 18:23",https://media.euobserver.com/277305c8653c3e260cc8038e0902e2cb-800x.jpg
"Press freedom under attack inside EU, advocates say",NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/news/118109,"BRUSSELS, 6. NOV 2012, 17:26",https://media.euobserver.com/0e8aa93e6097a7fa064950b1ec14a11c-800x.jpg
Growth and budgets in the spotlight this WEEK,NIKOLAJ NIELSEN,mailto:nn@euobserver.com,https://twitter.com/NikolajNielsen,https://euobserver.com/agenda/117700,"BRUSSELS, 28. SEP 2012, 17:48",https://media.euobserver.com/809dfa53cbaae3ea4a115b188891cb8f-800x.jpg
Moving the single market for online music,MICHEL BARNIER,none,none,https://euobserver.com/opinion/116931,"BRUSSELS, 11. JUL 2012, 09:14",https://media.euobserver.com/b76982ff439088b67449bb0ed26ca68d-800x.jpg
Child-proof the Internet or face regulation warns EU Commission,BENJAMIN FOX,none,none,https://euobserver.com/digital/116126,"BRUSSELS, 3. MAY 2012, 17:52",https://media.euobserver.com/277305c8653c3e260cc8038e0902e2cb-800x.jpg
